model_id;learn_rate;learn_rate_annealing;col_sample_rate;max_abs_leafnode_pred;pred_noise_bandwidth;distribution;tweedie_power;quantile_alpha;huber_alpha;categorical_encoding
GBM_5_AutoML_20190416_222141;0.1;1.0;0.8;1.7976931348623157e+308;0.0;gaussian;1.5;0.5;0.9;AUTO
GBM_5_AutoML_20190416_222141;0.1;1.0;0.8;1.7976931348623157e+308;0.0;gaussian;1.5;0.5;0.9;AUTO
GBM_3_AutoML_20190417_172402;0.1;1.0;0.8;1.7976931348623157e+308;0.0;gaussian;1.5;0.5;0.9;AUTO
GBM_2_AutoML_20190417_172402;0.1;1.0;0.8;1.7976931348623157e+308;0.0;gaussian;1.5;0.5;0.9;AUTO
GBM_1_AutoML_20190417_172402;0.1;1.0;0.8;1.7976931348623157e+308;0.0;gaussian;1.5;0.5;0.9;AUTO
GBM_5_AutoML_20190419_184714;0.1;1.0;0.8;1.7976931348623157e+308;0.0;gaussian;1.5;0.5;0.9;AUTO
GBM_4_AutoML_20190419_184714;0.1;1.0;0.8;1.7976931348623157e+308;0.0;gaussian;1.5;0.5;0.9;AUTO
GBM_3_AutoML_20190419_184714;0.1;1.0;0.8;1.7976931348623157e+308;0.0;gaussian;1.5;0.5;0.9;AUTO
GBM_2_AutoML_20190419_184714;0.1;1.0;0.8;1.7976931348623157e+308;0.0;gaussian;1.5;0.5;0.9;AUTO
GBM_1_AutoML_20190419_184714;0.1;1.0;0.8;1.7976931348623157e+308;0.0;gaussian;1.5;0.5;0.9;AUTO
GBM_5_AutoML_20190419_200713;0.1;1.0;0.8;1.7976931348623157e+308;0.0;gaussian;1.5;0.5;0.9;AUTO
GBM_4_AutoML_20190419_200713;0.1;1.0;0.8;1.7976931348623157e+308;0.0;gaussian;1.5;0.5;0.9;AUTO
GBM_3_AutoML_20190419_200713;0.1;1.0;0.8;1.7976931348623157e+308;0.0;gaussian;1.5;0.5;0.9;AUTO
GBM_2_AutoML_20190419_200713;0.1;1.0;0.8;1.7976931348623157e+308;0.0;gaussian;1.5;0.5;0.9;AUTO
GBM_1_AutoML_20190419_200713;0.1;1.0;0.8;1.7976931348623157e+308;0.0;gaussian;1.5;0.5;0.9;AUTO
GBM_5_AutoML_20190419_205801;0.1;1.0;0.8;1.7976931348623157e+308;0.0;gaussian;1.5;0.5;0.9;AUTO
GBM_4_AutoML_20190419_205801;0.1;1.0;0.8;1.7976931348623157e+308;0.0;gaussian;1.5;0.5;0.9;AUTO
GBM_3_AutoML_20190419_205801;0.1;1.0;0.8;1.7976931348623157e+308;0.0;gaussian;1.5;0.5;0.9;AUTO
GBM_2_AutoML_20190419_205801;0.1;1.0;0.8;1.7976931348623157e+308;0.0;gaussian;1.5;0.5;0.9;AUTO
GBM_1_AutoML_20190419_205801;0.1;1.0;0.8;1.7976931348623157e+308;0.0;gaussian;1.5;0.5;0.9;AUTO
GBM_grid_1_AutoML_20190419_205801_model_1;0.5;1.0;1.0;1.7976931348623157e+308;0.0;gaussian;1.5;0.5;0.9;AUTO
GBM_grid_1_AutoML_20190419_205801_model_2;0.001;1.0;0.4;1.7976931348623157e+308;0.0;gaussian;1.5;0.5;0.9;AUTO
GBM_5_AutoML_20190419_174950;0.1;1.0;0.8;1.7976931348623157e+308;0.0;gaussian;1.5;0.5;0.9;AUTO
GBM_4_AutoML_20190419_174950;0.1;1.0;0.8;1.7976931348623157e+308;0.0;gaussian;1.5;0.5;0.9;AUTO
GBM_3_AutoML_20190419_174950;0.1;1.0;0.8;1.7976931348623157e+308;0.0;gaussian;1.5;0.5;0.9;AUTO
GBM_2_AutoML_20190419_174950;0.1;1.0;0.8;1.7976931348623157e+308;0.0;gaussian;1.5;0.5;0.9;AUTO
GBM_1_AutoML_20190419_174950;0.1;1.0;0.8;1.7976931348623157e+308;0.0;gaussian;1.5;0.5;0.9;AUTO
